ts,open,high,low,close,n_obs,source,quality,xcheck_spread_bps,xcheck_sources
2022-06-05 00:00:00+00:00,1.00053241,1.00053241,1.00053241,1.00053241,1,chainlink,measured,8.324099999998946,1
2022-06-06 00:00:00+00:00,1.0003994,1.0003994,1.0003994,1.0003994,1,chainlink,measured,6.294000000000022,1
2022-06-07 00:00:00+00:00,1.0003278,1.0003278,1.0003278,1.0003278,1,chainlink,measured,4.077999999999582,1
2022-06-08 00:00:00+00:00,1.00059837,1.00059837,1.00059837,1.00059837,1,chainlink,measured,4.083700000001578,1
2022-06-09 00:00:00+00:00,1.00095606,1.00095606,1.00095606,1.00095606,1,chainlink,measured,10.460600000000708,1
2022-06-10 00:00:00+00:00,1.0005,1.0005,1.0005,1.0005,1,chainlink,measured,8.299999999999974,1
2022-06-11 00:00:00+00:00,1.00042396,1.00042396,1.00042396,1.00042396,1,chainlink,measured,5.539599999999645,1
2022-06-12 00:00:00+00:00,1.00071648,1.00071648,1.00071648,1.00071648,1,chainlink,measured,8.464799999998718,1
2022-06-13 00:00:00+00:00,1.000352,1.000352,1.000352,1.000352,1,chainlink,measured,6.019999999998804,1
2022-06-14 00:00:00+00:00,1.00038787,1.00038787,1.00038787,1.00038787,1,chainlink,measured,5.778699999999803,1
2022-06-15 00:00:00+00:00,1.000512,1.000512,1.000512,1.000512,1,chainlink,measured,7.120000000000459,1
2022-06-16 00:00:00+00:00,1.0009935,1.0009935,1.0009935,1.0009935,1,chainlink,measured,11.63500000000095,1
2022-06-17 00:00:00+00:00,1.00042012,1.00042012,1.00042012,1.00042012,1,chainlink,measured,4.301199999999783,1
2022-06-18 00:00:00+00:00,1.00025912,1.00025912,1.00025912,1.00025912,1,chainlink,measured,1.508800000000754,1
2022-06-19 00:00:00+00:00,1.0005972,1.0005972,1.0005972,1.0005972,1,chainlink,measured,9.372000000000824,1
2022-06-20 00:00:00+00:00,1.00005906,1.00005906,1.00005906,1.00005906,1,chainlink,measured,3.6906000000014316,1
2022-06-21 00:00:00+00:00,1.00014814,1.00014814,1.00014814,1.00014814,1,chainlink,measured,6.481400000000193,1
2022-06-22 00:00:00+00:00,1.00076398,1.00076398,1.00076398,1.00076398,1,chainlink,measured,12.639800000000534,1
2022-06-23 00:00:00+00:00,1.000011,1.000011,1.000011,1.000011,1,chainlink,measured,2.809999999999757,1
2022-06-24 00:00:00+00:00,0.99999274,0.99999274,0.99999274,0.99999274,1,chainlink,measured,4.872599999999894,1
2022-06-25 00:00:00+00:00,1.0002993,1.0002993,1.0002993,1.0002993,1,chainlink,measured,7.992999999999473,1
2022-06-26 00:00:00+00:00,1.00019895,1.00019895,1.00019895,1.00019895,1,chainlink,measured,3.98949999999898,1
2022-06-27 00:00:00+00:00,1.00024458,1.00024458,1.00024458,1.00024458,1,chainlink,measured,2.0457999999989873,1
2022-06-28 00:00:00+00:00,1.00036763,1.00036763,1.00036763,1.00036763,1,chainlink,measured,2.1762999999985766,1
2022-06-29 00:00:00+00:00,1.00014503,1.00014503,1.00014503,1.00014503,1,chainlink,measured,5.950300000000519,1
2022-06-30 00:00:00+00:00,1.00097403,1.00097403,1.00097403,1.00097403,1,chainlink,measured,5.9403000000002315,1
2022-07-01 00:00:00+00:00,1.00070325,1.00070325,1.00070325,1.00070325,1,chainlink,measured,9.8324999999988,1
2022-07-02 00:00:00+00:00,1.00045639,1.00045639,1.00045639,1.00045639,1,chainlink,measured,8.163900000001112,1
2022-07-03 00:00:00+00:00,1.00018833,1.00018833,1.00018833,1.00018833,1,chainlink,measured,3.383300000000533,1
